Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Shrimp chow mein or chop suey with noodles,42.0,11.37,1.5,35.0,Low,Low,Medium
Seafood stew with potatoes and vegetables including carrots,37.0,5.98,0.9,74.0,Low,Low,Medium
Kung Pao pork,22.0,4.79,1.1,16.0,Low,Medium,High
Ham and vegetables excluding carrots,13.0,5.12,1.1,6.0,Low,Medium,Medium
Pork and vegetables excluding  carrots,18.0,6.44,1.5,15.0,Low,Medium,Medium
Chicken or turkey chow mein or chop suey,21.0,3.84,0.8,11.0,Low,Low,Medium
Asian chicken or turkey garden salad with crispy noodles,46.0,7.91,1.9,132.0,Low,Medium,Medium
Shrimp shish kabob with vegetables,52.0,5.69,0.9,49.0,Low,Low,Medium
Stewed chitterlings,26.0,3.82,1.0,15.0,Low,Medium,Medium
Meat sandwich,173.0,33.02,1.4,1.0,Low,Medium,Medium
Roast beef submarine sandwich,136.66666666666666,18.54,0.6333333333333333,8.0,Low,Medium,Medium
Steak submarine sandwich with lettuce and tomato,62.0,20.31,0.9,6.0,Low,Medium,High
Steak and cheese sandwich,279.0,18.13,0.6,45.0,Low,Medium,High
Cuban sandwich,141.0,22.67,0.8,69.0,Low,Medium,High
Chicken fillet biscuit,51.0,26.41,2.0,12.0,Low,Medium,Medium
Turkey sandwich,88.0,18.61,0.9,3.0,Low,Medium,High
Turkey or chicken burger,86.0,19.895,1.35,19.5,Low,Medium,High
Sausage on biscuit,47.0,29.99,0.4,1.0,Low,High,Medium
Sausage balls,376.0,22.84,0.7,140.0,Low,High,High
Meat spread or potted meat sandwich,111.0,30.45,1.2,13.0,Low,Medium,Medium
Hors d'oeuvres,126.0,28.69,1.3,17.0,Low,Low,Medium
Beef with vegetable,34.0,4.68,0.8,114.0,Low,Medium,Medium
Beef with spaetzle or rice,8.0,12.23,0.6,7.0,Low,Low,Medium
Chicken in soy-based sauce,15.0,17.87,0.9,11.0,Low,Low,Medium
Beef noodle soup,12.0,4.796666666666666,0.5333333333333333,19.0,Low,Low,Medium
Chicken or turkey mushroom soup,74.0,8.41,1.6,34.0,Low,Low,Low
Codfish soup with noodles,13.0,7.5,0.6,8.0,Low,Low,Medium
Seafood soup with vegetables excluding carrots,30.0,2.81,0.6,13.0,Low,Low,Low
Gravy,21.5,6.9075,0.225,17.5,Low,Low,Low
Egg and sausage on biscuit,51.0,21.05,0.2,43.0,Low,High,Medium
Baked beans,41.0,21.02,4.666666666666667,3.6666666666666665,Medium,Low,Low
Beans and tomatoes,31.5,18.3,6.25,7.0,Low,Low,Medium
Refried beans,37.666666666666664,14.46,5.066666666666666,3.6666666666666665,Low,Low,Medium
Blackeyed peas,23.0,21.122500000000002,6.1,8.0,Low,Medium,Medium
Chickpeas,51.833333333333336,23.986666666666668,7.199999999999999,1.5,Low,Medium,Medium
Soybean soup,16.0,2.47,0.4,1.0,Low,Low,Low
Brazil nuts,160.0,11.74,7.5,0.0,Low,High,Medium
Peanuts,73.83333333333333,26.86583333333333,7.449999999999999,3.5,Medium,High,High
Cashew butter,61.0,30.3,3.0,0.0,Medium,High,Medium
Peanut sauce,22.0,22.02,1.8,0.0,High,Medium,Medium
Pie,33.65384615384615,38.914230769230755,1.5820512820512815,52.94871794871795,High,Medium,Low
Crisp,40.0,38.8425,1.4,72.25,High,Medium,Low
Sopaipilla,96.0,40.93,1.4,0.0,Low,Medium,Medium
Sopaipilla with syrup or honey,73.0,51.31,1.1,0.0,High,Medium,Low
Cheese pastry puffs,122.0,13.03,0.4,207.0,Low,Medium,Medium
Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),57.0,61.14,2.9,142.0,High,High,Medium
Nutrition bar (Zone Perfect Classic Crunch),200.0,45.0,2.0,1050.0,High,Medium,High
Cereal bar with fruit filling,1053.0,68.63,1.7,14.0,High,Medium,Medium
Cheese flavored corn snacks (Cheetos),56.0,53.53,1.4,0.0,Low,High,Medium
Multigrain chips (Sun Chips),20.0,67.26,8.8,3.0,Medium,High,Medium
Pancakes,143.625,35.53208333333334,2.370833333333333,157.16666666666666,Medium,Medium,Medium
Waffle,190.7391304347826,43.156956521739126,2.8304347826086955,142.69565217391303,Medium,Medium,Medium
French toast sticks,94.83333333333333,37.315,1.8666666666666665,31.0,Medium,Medium,Medium
Funnel cake with sugar and fruit,103.0,54.92,0.9,47.0,High,Medium,Medium
Oatmeal,80.81818181818181,16.190000000000005,1.8113636363636358,117.61363636363636,Low,Low,Low
Cereal (Quaker Cap'n Crunch's Crunchberries),11.0,85.93,2.6,7.0,High,Low,Low
Cereal (General Mills Fiber One),333.0,84.3,46.2,1.0,Low,Low,Medium
Cereal (Kellogg's All-Bran Complete Wheat Flakes),39.0,81.6,17.3,776.0,High,Low,Medium
Cereal (Kellogg's Froot Loops Marshmallow),9.0,89.3,7.4,507.0,High,Low,Low
Cereal (Kellogg's Krave),17.0,82.08,10.1,690.0,High,Medium,Medium
Cereal (Malt-O-Meal Coco-Roos),333.0,86.75,3.3,481.0,High,Low,Low
Cereal (Malt-O-Meal Corn Bursts),5.0,90.59,1.9,700.0,High,Low,Low
Wheat germ,45.0,49.6,15.1,5.0,Medium,Medium,High
Oatmeal cereal,1160.0,73.48,7.3,0.0,Medium,Medium,Medium
Rice cereal with mixed fruits,38.0,88.5,2.6,0.0,Low,Low,Medium
Enchilada with meat,83.0,11.35,2.25,23.5,Low,Medium,Medium
Gordita,105.5,22.936666666666667,2.766666666666667,33.0,Low,Medium,Medium
Pizza with meat and vegetables,160.66666666666666,26.590000000000003,2.1666666666666665,63.333333333333336,Low,Medium,Medium
Sweet bread dough,122.5,46.68,2.3,0.0,Medium,Medium,Medium
Croissant sandwich,182.0,24.68,0.95,135.5,Low,Medium,Medium
Croissant sandwich with sausage,90.0,15.9,1.8,173.0,Low,High,Medium
Paella with meat,32.0,16.75,0.5,30.0,Low,Medium,High
Rice with onions,23.0,18.85,1.3,90.0,Low,Medium,Low
Rice with raisins,15.0,32.13,0.8,23.0,Medium,Low,Low
Rice dessert or salad with fruit,23.0,20.67,0.8,83.0,Medium,Medium,Low
Beef and noodles with meat sauce and cheese,78.0,13.16,1.2,28.0,Low,Low,Medium
Sopa de tortilla,83.0,7.52,0.7,32.0,Low,Medium,Low
Mango,7.5,31.19,1.7000000000000002,52.25,High,Low,Low
Guava,18.0,14.32,5.4,31.0,Medium,Low,Low
Plum,5.5,12.48,1.2,14.0,Medium,Low,Low
Blackberry juice,12.0,7.8,0.1,6.0,Medium,Low,Low
Pineapple juice,13.0,12.87,0.2,0.0,Medium,Low,Low
Banana nectar,4.0,17.95,0.9,1.0,Medium,Low,Low
Apples and pears,6.0,10.876666666666665,2.2,0.6666666666666666,Medium,Low,Low
Apple-grape juice,6.0,11.34,0.1,0.0,Medium,Low,Low
Mixed fruit juice,36.0,12.2,0.25,1.0,Medium,Low,Low
Cherry cobbler,5.0,19.2,0.2,2.0,Medium,Low,Low
Potato skins without topping,11.0,19.53,1.8,1.0,Low,Medium,Low
Spinach,119.5,4.264999999999999,2.5999999999999996,500.27777777777777,Low,Low,Low
Winter squash,21.666666666666668,7.963333333333334,2.0,316.3333333333333,Low,Low,Low
Carrot soup,50.0,5.01,1.0,285.0,Low,Low,Low
Salsa verde or salsa,9.0,6.36,1.9,11.0,Low,Low,Low
Raw vegetable,32.0,5.77,2.0,232.0,Low,Low,Low
Garlic,180.5,32.96,2.1,0.0,Low,Low,Medium
Mushrooms,17.363636363636363,6.358181818181818,1.3272727272727272,16.0,Low,Low,Low
Mushroom,3.0,14.35,2.1,0.0,Low,Low,Low
Lima beans and corn,16.5,18.975,3.75,15.0,Low,Low,Low
Asian stir fry vegetables,37.5,9.690000000000001,2.9,234.0,Low,Low,Low
Fried eggplant,27.0,22.11,2.0,5.0,Low,Medium,Low
Fried onion rings,72.0,39.94,2.6,0.0,Low,Medium,Low
Vegetable stew without meat,16.0,9.62,1.8,79.0,Low,Low,Low
Vegetable and beef,17.0,8.84,1.3,246.0,Low,Low,Low
Olive oil,1.0,0.0,0.0,0.0,Low,High,Low
Coleslaw dressing,22.5,31.2,0.2,8.5,High,High,Low
Russian dressing,14.333333333333334,29.59,1.4333333333333333,10.666666666666666,High,Medium,Low
Avocado dressing,34.0,7.36,0.1,10.0,Medium,High,Low
Icing,5.5,65.545,0.45,0.0,High,Medium,Low
Fruit butter,14.0,42.47,1.5,1.0,High,Low,Low
Gumdrops,29.0,93.37,0.55,8.5,High,Low,Low
Chocolate-flavored sprinkles,15.0,66.53,4.1,0.0,High,High,Low
MARS Almond Bar,168.0,62.7,2.0,15.0,High,High,Medium
Butterscotch hard candy,4.0,90.4,0.0,28.0,High,Low,Low
Dietetic or low calorie gumdrops,0.0,88.1,0.0,0.0,High,Low,Low
Chewing gum,11.333333333333334,95.62333333333333,2.4,0.0,High,Low,Low
Fruit juice drink,15.7,7.090000000000001,0.06,9.3,Medium,Low,Low
Lemonade,3.75,18.38,0.075,0.0,High,Low,Low
Daiquiri,3.0,15.64,0.1,0.0,Medium,Low,Low
Gelatin shot,2.0,2.8,0.0,0.0,Low,Low,Low
Mojito,7.0,2.45,0.2,7.0,Low,Low,Low
Old fashioned,10.0,6.11,0.5,2.0,Medium,Low,Low
Screwdriver,42.0,8.62,0.2,2.0,Medium,Low,Low
Whiskey and ginger ale,2.0,6.59,0.0,0.0,Medium,Low,Low
Brandy and cola,1.0,7.8,0.0,0.0,Medium,Low,Low
Gin Rickey,4.0,0.47,0.0,0.0,Low,Low,Low
Fuzzy Navel,42.0,19.3,0.2,1.0,High,Low,Low
Zombie,9.0,9.25,0.1,4.0,Medium,Low,Low
Wine cooler,4.0,10.07,0.0,0.0,Medium,Low,Low
Wine spritzer,7.0,1.62,0.0,0.0,Low,Low,Low
Sauce as ingredient in hamburgers,18.0,17.14,0.6,21.0,Medium,High,Low
Ranch dip,93.0,7.19,0.26666666666666666,63.333333333333336,Low,High,Low
Spinach dip,86.66666666666667,6.04,0.3,103.0,Low,High,Low
Chocolate milk drink,100.0,10.68,0.6,60.0,Medium,Low,Low
Flan,97.0,28.18,0.0,60.0,High,Low,Medium
Milk dessert or milk candy,251.0,55.35,0.0,74.0,High,Medium,Medium
Custard pudding,54.333333333333336,16.79,0.10000000000000002,15.666666666666666,Medium,Low,Low
Spinach and artichoke dip,118.0,4.76,1.2,141.0,Low,High,Low
Alfredo sauce with poultry and added vegetables,48.0,1.88,0.3,109.0,Low,Medium,Medium
Meat sticks,34.0,1.1,0.2,21.0,Low,Medium,Medium
Pork,25.0,6.347000000000001,0.5325,19.825,Low,Medium,High
Ham,9.5,3.0961538461538463,0.2076923076923077,10.884615384615385,Low,Medium,High
Bacon,71.28571428571429,10.481428571428571,0.6285714285714287,18.0,Low,High,High
Caribou,22.0,0.0,0.0,0.0,Low,Low,High
Chicken leg,12.722222222222221,1.3688888888888888,0.044444444444444446,11.5,Low,Medium,High
Bratwurst,79.0,2.895,0.0,14.5,Low,High,Medium
Mortadella,18.0,3.05,0.0,0.0,Low,High,High
Pork and beef sausage,22.0,2.4,0.0,23.0,Low,High,High
Scrapple,6.0,14.96,0.3,499.0,Low,Medium,Medium
Turkey or chicken,0.0,13.25,0.0,0.0,Low,Medium,High
Luncheon meat,57.0,4.365,0.75,39.0,Low,Medium,Medium
Ham luncheon meat,9.0,1.57,0.0,13.0,Low,Low,High
Liverwurst,9.0,3.1,0.0,4220.0,Low,High,Medium
Abalone,52.666666666666664,11.586666666666666,0.19999999999999998,7.666666666666667,Low,Medium,High
Beef with soy-based sauce,19.0,3.46,0.5,3.0,Low,Medium,High
Veal Marsala,9.0,6.52,0.4,39.0,Low,Medium,High
Sweet and sour chicken or turkey,45.0,23.86,1.0,18.0,Medium,Medium,Medium
Chicken or turkey with cheese sauce,103.0,1.64,0.0,30.0,Low,Medium,High
Sesame chicken,12.0,26.88,0.7,83.0,High,Medium,Medium
Tuna with cream or white sauce,49.0,2.81,0.0,52.0,Low,Low,Medium
Fish sauce,43.0,3.64,0.0,4.0,Low,Low,Medium
Fish curry with rice,19.0,15.15,1.0,32.0,Low,Low,Low
Sardines with mustard sauce,240.0,0.54,0.1,34.0,Low,Medium,High
Ham croquette,18.0,2.58,0.2,18.0,Low,High,High
Venison or deer and noodles with cream or white sauce,42.0,14.48,0.6,41.0,Low,Medium,Medium
Chicken or turkey and noodles with soy-based sauce,19.0,7.69,0.6,6.0,Low,Medium,Medium
Crab cake,78.0,2.58,0.2,18.0,Low,Medium,Medium
Fish and rice with tomato-based sauce,12.0,16.53,0.7,9.0,Low,Medium,Medium
Ham pot pie,13.0,18.48,1.3,48.0,Low,Medium,Medium
Rabbit stew with potatoes and vegetables,14.0,4.44,0.7,50.0,Low,Low,Medium
Paella with seafood,18.0,16.42,0.8,25.0,Low,Low,Medium
Chow mein or chop suey,21.0,9.522,1.42,10.8,Low,Low,Medium
Beef shish kabob with vegetables,14.0,5.0,0.9,8.0,Low,Low,Medium
Beef steak with onions,17.0,3.94,0.7,0.0,Low,High,High
Pork and vegetables,26.0,7.33,1.7,85.0,Low,Low,Medium
Sausage and peppers,11.0,3.26,0.3,19.0,Low,Medium,Medium
Kung pao chicken,20.0,6.87,1.5,65.0,Low,Medium,Medium
Chicken or turkey salad with egg,21.0,2.66,0.4,27.0,Low,Medium,Medium
Lobster salad,61.0,1.15,0.4,8.0,Low,Medium,Medium
Seafood salad,67.0,1.18,0.4,9.0,Low,Medium,Medium
Shrimp garden salad,69.0,2.435,0.8500000000000001,144.5,Low,Low,Medium
Fried fish with sauce,20.0,3.42,0.8,15.0,Low,Medium,Medium
Hamburger wrap sandwich,67.0,20.38,1.4,0.0,Low,Medium,High
Turkey submarine sandwich,169.0,22.42,1.3,2.0,Low,Low,Medium
Tuna salad sandwich,131.0,17.9125,0.975,27.0,Low,Medium,Medium
Menudo soup,30.0,3.88,1.05,23.5,Low,Low,Low
Chicken or turkey broth,7.0,1.68,0.15,3.75,Low,Low,Low
Chicken soup with noodles and potatoes,12.0,8.66,0.9,2.0,Low,Low,Medium
Turtle and vegetable soup,31.0,3.71,0.8,36.0,Low,Low,Low
Shrimp soup,49.0,4.85,0.10000000000000002,34.0,Low,Low,Low
Meat broth,6.0,0.04,0.0,0.0,Low,Low,Low
Shrimp egg foo yung,58.0,5.09,0.3,98.0,Low,Medium,Medium
Egg and steak on biscuit,55.0,24.58,1.4,74.0,Low,Medium,Medium
Black beans with meat,24.0,19.06,7.0,1.0,Low,Medium,Medium
Chili with beans,28.0,8.19,2.7,17.0,Low,Low,Low
Lentil curry,25.0,12.28,3.4,36.0,Low,Medium,Low
Almond butter,347.0,18.82,10.3,0.0,Medium,High,High
Trail mix with pretzels,60.0,50.65,6.1,0.0,High,High,Medium
Cornbread stuffing,26.0,21.9,2.9,78.0,Low,Medium,Low
Popover,124.0,34.83,1.1,129.0,Low,Medium,Medium
Vanilla wafer dessert base,42.0,50.2,0.1,269.0,Medium,High,Low
Pastry,68.84615384615384,42.24307692307693,1.7769230769230773,64.84615384615384,Medium,Medium,Medium
Empanada,73.4,36.644000000000005,1.9,69.8,Medium,Medium,Medium
Breakfast bar,48.666666666666664,72.16666666666667,2.933333333333333,408.3333333333333,High,Medium,Low
Rice paper,10.0,72.54,2.1,0.0,Low,Low,Medium
Gerber Finger Foods,400.0,76.68,2.3,0.0,High,Medium,Medium
Cheese flavored corn snacks,206.5,62.94,2.5,22.0,Medium,High,Medium
Onion flavored rings,29.0,65.1,3.9,8.0,Low,High,Medium
Noodles,16.25,32.730000000000004,2.3249999999999997,4.0,Low,Medium,Medium
Millet,3.3333333333333335,23.176666666666666,1.2666666666666666,14.333333333333334,Low,Low,Low
Cereal (Kellogg's All-Bran),389.0,74.24,29.3,522.0,High,Low,Medium
Cereal (Quaker Cap'n Crunch),11.0,85.51,2.5,7.0,High,Medium,Low
Cereal (General Mills Cheerios Chocolate),370.0,83.5,6.2,533.0,High,Medium,Medium
Cereal (General Mills Count Chocula),370.0,84.5,5.0,526.0,High,Low,Medium
Cereal (Kellogg's Crispix),9.0,87.19,1.0,494.0,Medium,Low,Medium
Cereal (Post Grape-Nuts),32.0,80.49,13.0,0.0,Medium,Low,Medium
Cereal (Post Great Grains Raisins,39.0,74.3,9.3,407.0,High,Medium,Medium
Cereal (Nature Valley Granola),82.0,73.75,9.4,1.0,High,Medium,Medium
Oat bran,58.0,66.22,15.4,0.0,Low,Medium,High
Oatmeal cereal with bananas,800.0,78.07,5.2,0.0,High,Medium,Medium
Oatmeal cereal with fruit,286.0,74.1,7.8,4.0,Medium,Medium,Medium
Gerber Graduates Finger Snacks Cereal,400.0,76.68,2.3,0.0,High,Medium,Medium
Taco or tostada with meat and sour cream,103.0,17.33,2.3,57.0,Low,Medium,Medium
Taco or tostada salad with chicken and sour cream,85.0,14.78,2.5,42.0,Low,Medium,Medium
Nachos with chicken,132.0,16.2,2.9,58.0,Low,Medium,Medium
Pizza rolls,132.0,53.39,1.3,63.0,Low,Medium,Medium
Meat turnover,20.0,21.62,1.1,23.0,Low,Medium,Medium
Lasagna with chicken or turkey,267.0,14.02,1.0,93.0,Low,Medium,Medium
Cannelloni,107.0,18.42,1.2,154.0,Low,Medium,Medium
Pad Thai with meat,21.0,14.74,1.2,16.0,Low,Medium,Medium
Yat Ga Mein with meat,19.0,11.16,1.5,9.0,Low,Medium,Medium
Macaroni or pasta salad with meat,8.0,20.82,1.2,5.0,Low,Medium,Medium
Sushi roll tuna,4.0,15.3,0.7,8.0,Low,Low,Medium
Rice with vienna sausage,20.0,33.55,0.8,3.0,Low,Medium,Medium
Pinto beans and brown rice,27.0,24.8,5.7,0.0,Low,Low,Medium
Spanish rice,20.75,22.595,1.2,9.0,Low,Low,Low
Macaroni and cheese,90.33333333333333,12.293333333333331,0.6,25.0,Low,Low,Low
Spaghetti with meat sauce,23.0,15.06,1.5,40.0,Low,Low,Medium
Linguini with vegetables and seafood in white wine sauce,38.0,11.71,1.1,57.0,Low,Low,Medium
Noodle soup,23.0,9.7,0.55,9.5,Low,Low,Low
Rice and potato soup,10.0,12.62,0.5,2.0,Low,Low,Low
Orange,18.0,11.8025,1.125,34.25,Medium,Low,Low
Banana chips,18.0,58.4,7.7,4.0,High,High,Low
Lychee,5.0,16.53,1.3,0.0,High,Low,Low
Honeydew melon,6.0,9.09,0.8,3.0,Medium,Low,Low
Cranberry sauce,3.0,40.4,1.1,2.0,High,Low,Low
Cranberry juice,8.0,12.2,0.1,2.0,Medium,Low,Low
Apricot nectar,11.0,13.63,0.1,16.0,Medium,Low,Low
Passion fruit nectar,3.0,17.39,0.1,14.0,High,Low,Low
Applesauce with cherries,1.0,14.1,1.1,2.0,Medium,Low,Low
Pears,8.5,11.8,2.3999999999999995,1.0,Medium,Low,Low
Apple-sweet potato juice,15.0,11.4,0.5,154.0,Medium,Low,Low
Fruit dessert,9.0,16.599999999999998,0.6,7.0,Medium,Low,Low
Yogurt and fruit snack,457.0,71.82,2.3,107.0,High,Low,Medium
Apples with ham,4.0,10.9,1.8,0.0,Medium,Low,Low
Plantain,3.25,31.107499999999998,1.625,60.0,High,Low,Low
Celeriac,45.0,9.58,1.9,12.0,Low,Low,Low
Taro chips,60.0,68.1,7.2,7.0,Low,High,Low
Greens,179.28571428571428,4.577142857142857,2.9,302.2857142857143,Low,Low,Low
Fried broccoli,42.0,22.34,1.8,16.0,Low,Medium,Low
Carrot juice,24.0,9.28,0.8,956.0,Low,Low,Low
Sweet potato chips,59.0,56.54,8.8,1178.0,Medium,High,Low
Beets,14.88888888888889,9.013333333333334,1.9555555555555553,6.333333333333333,Medium,Low,Low
Aloe vera juice drink,8.0,3.75,0.0,0.0,Low,Low,Low
Sauerkraut,30.0,4.16,2.8,24.0,Low,Low,Low
Snowpea,50.0,8.162,2.8,64.0,Low,Low,Low
Eggplant parmesan casserole,180.0,8.92,1.9,53.0,Low,Medium,Medium
Asparagus soup,53.666666666666664,5.913333333333334,0.20000000000000004,32.333333333333336,Low,Low,Low
Minestrone soup,21.0,7.753333333333333,1.5333333333333334,36.333333333333336,Low,Low,Low
Broccoli and chicken,37.0,6.34,1.4,24.0,Low,Low,Low
Green plantain with cracklings,5.0,27.42,1.4,38.0,Medium,High,Medium
Lemon-butter sauce,22.0,0.74,0.0,616.0,Low,High,Low
Honey butter,13.0,48.5,0.1,282.0,High,High,Low
Corn oil,0.0,0.0,0.0,0.0,Low,High,Low
Yogurt dressing,103.0,11.8,0.1,208.0,Medium,Medium,Low
Duck sauce,11.0,60.66,0.6,8.0,High,Low,Low
Snow cone,1.0,19.26,0.0,0.0,High,Low,Low
Candy,3.0,98.0,0.0,0.0,High,Low,Low
Caramel with nuts,78.0,60.67,4.3,42.0,High,High,Medium
Reese's Peanut Butter Cup,78.0,55.36,3.6,17.0,High,High,Medium
M&M's Pretzel Chocolate Candies,50.0,72.94,2.5,34.0,High,Medium,Medium
Fruit juice drink (Capri Sun),5.0,10.0,0.0,0.0,Medium,Low,Low
Sports drink,2.4,21.67,0.0,0.0,High,Low,Low
Manhattan,1.0,1.82,0.0,0.0,Low,Low,Low
Mimosa,33.0,7.14,0.2,1.0,Low,Low,Low
Rob Roy,2.0,3.6,0.0,0.0,Low,Low,Low
Energy drink (Mountain Dew AMP),13.0,12.08,0.0,0.0,Medium,Low,Low
Fish fillet,21.0,8.18,0.3,17.0,Low,Medium,High
Buttermilk,122.5,4.9399999999999995,0.0,22.75,Low,Low,Low
Rice milk,118.0,9.17,0.3,63.0,Medium,Low,Low
Frozen yogurt bar,100.0,21.6,1.15,44.0,High,Low,Low
Eggnog,118.5,7.335000000000001,0.0,54.0,Medium,Low,Low
Infant formula,68.97687861271676,7.218092485549133,0.013872832369942197,63.028901734104046,Medium,Low,Low
Gelato,129.5,21.035,0.45,191.5,High,Medium,Low
Ice cream sundae,106.5,31.78,0.8500000000000001,100.0,High,Medium,Low
Fudgesicle,196.5,26.549999999999997,1.25,0.0,Medium,Low,Low
Sherbet,54.0,30.4,1.3,12.0,High,Low,Low
Seafood dip,117.0,3.89,0.2,61.0,Low,High,Medium
Cheese fondue,639.0,1.93,0.0,188.0,Low,High,High
Steak,16.333333333333332,0.0,0.0,1.6666666666666667,Low,Medium,High
Canadian bacon,7.0,1.8,0.0,0.0,Low,Low,High
Ground hog,20.0,0.0,0.0,2.0,Low,Medium,High
Chicken,22.704545454545453,3.149545454545454,0.35454545454545455,20.5,Low,Medium,High
Chicken patty,21.0,14.42,0.85,4.5,Low,Medium,Medium
Turkey with barbecue sauce,20.5,12.23,0.3,11.5,Medium,Medium,High
Liver paste or pate,10.0,6.55,0.0,217.0,Low,Medium,Medium
Heart,5.0,0.15,0.0,0.0,Low,Low,High
Pastrami,7.5,0.5,0.0,2.5,Low,Low,High
Sausage,13.4,11.068,1.1199999999999999,45.4,Low,Medium,Medium
Sardines,288.0,0.135,0.025,42.5,Low,Medium,High
Sea bass,23.5,4.9725,0.3,45.5,Low,Medium,High
Trout,45.94444444444444,6.523888888888888,0.34444444444444444,100.44444444444444,Low,Medium,High
Chili con carne without beans,30.0,6.1,0.5,14.0,Low,Medium,Medium
Beef curry,20.0,6.46,1.4,46.0,Low,Medium,Medium
Meatballs,28.75,5.895,0.5,11.25,Low,Medium,Medium
Stuffed pot roast,16.0,4.484999999999999,0.7,3.5,Low,High,High
Ham or pork with barbecue sauce,24.0,12.69,0.3,5.0,Medium,Medium,High
Ham or pork with tomato-based sauce,17.0,1.59,0.4,8.0,Low,Medium,High
Chili con carne with venison/deer and beans,28.0,7.21,2.4,16.0,Low,Low,Medium
Spaghetti sauce with seafood,42.0,7.09,1.5,40.0,Low,Low,Medium
Shrimp with lobster sauce,100.0,2.22,0.0,10.0,Low,Medium,High
Fish moochim,102.0,10.18,0.8,24.0,Medium,Medium,High
Fish with tomato-based sauce,14.0,1.59,0.4,16.0,Low,Low,High
Meat with gravy,8.0,1.58,0.0,0.0,Low,Medium,High
Lamb or mutton loaf,52.0,7.42,0.3,33.0,Low,Medium,Medium
Meat loaf made with chicken or turkey,63.5,7.675000000000001,0.7,34.0,Low,Medium,High
Seafood restructured,13.0,15.0,0.5,0.0,Medium,Low,Medium
Venison or deer stew with potatoes and vegetables including carrots,16.0,8.39,1.6,80.0,Low,Low,Medium
Frankfurters or hot dogs and sauerkraut,21.0,3.52,1.1,2.0,Low,Medium,Medium
Pork and onions with soy-based sauce,24.0,5.51,0.8,3.0,Low,Medium,Medium
Pork and vegetables excluding carrots,20.0,4.955,1.05,8.0,Low,Medium,Medium
General Tso chicken,12.0,23.99,0.9,11.0,Medium,Medium,Medium
Tuna salad with egg,23.0,2.67,0.4,31.0,Low,Medium,Medium
Seafood garden salad with seafood,62.5,2.535,0.8499999999999999,142.75,Low,Low,Medium
Shrimp and vegetables excluding carrots,46.0,5.85,1.1,40.0,Low,Medium,Medium
Beef barbecue submarine sandwich,63.0,26.04,0.8,2.0,Medium,Medium,High
Whopper Jr (Burger King),64.0,21.12,1.0,9.0,Low,Medium,Medium
Reuben sandwich,165.0,19.32,2.2,46.0,Low,Medium,Medium
Sliced chicken sandwich,203.5,22.37,1.0,23.5,Low,Medium,High
Sausage and cheese on English muffin,210.0,25.28,0.5,56.0,Low,High,Medium
Chicken in butter sauce with potatoes and vegetable,17.0,4.64,0.8,12.0,Low,Low,High
Bacon soup,9.0,3.63,0.0,22.0,Low,Low,Low
Mexican style chicken broth soup stock,22.0,7.37,1.5,36.0,Low,Low,Low
Chicken or turkey gumbo soup,10.0,3.43,0.8,3.0,Low,Low,Low
Chicken or turkey corn soup with noodles,10.0,7.34,0.6,26.0,Low,Low,Low
Chicken or turkey vegetable soup with noodles,10.0,6.88,0.6,27.0,Low,Low,Medium
Codfish,12.0,7.59,0.4,7.0,Low,Low,Medium
Lobster bisque,53.0,1.7,0.2,44.0,Low,Low,Medium
Oyster sauce,32.0,10.92,0.3,0.0,Low,Low,Low
Scrambled eggs with jerked beef,41.0,2.97,0.2,98.0,Low,Medium,High
Egg and cheese on biscuit,255.0,17.25,0.9,153.0,Low,High,Medium
Garlic egg soup,35.0,5.52,0.2,30.0,Low,Low,Low
Egg white,74.14285714285714,1.24,0.14285714285714285,59.42857142857143,Low,Medium,Medium
Pinto beans,57.42857142857143,24.624285714285715,8.042857142857143,0.0,Low,Medium,Medium
Bean cake,13.0,49.58,3.0,0.0,High,High,Medium
Split peas,13.5,20.29,7.949999999999999,0.0,Low,Low,Medium
Vegetarian chili,26.0,13.89,4.4,19.0,Low,Low,Medium
Pecans,64.8,17.1,8.84,2.8,Medium,High,Medium
Peanut butter,56.0,27.14142857142857,5.385714285714286,170.42857142857142,High,High,High
Peanut butter and chocolate spread,28.0,42.75,2.8,0.0,High,High,Medium
Carob chips,303.0,56.29,3.8,1.0,High,High,Medium
Bread,108.36974789915966,50.62697478991598,4.500840336134452,11.285714285714286,Medium,Low,Medium
Cornbread muffin,145.5,48.35,2.5,48.0,Medium,Medium,Medium
Corn pone,110.5,38.735,1.85,5.0,Low,Medium,Low
Hush puppy,100.0,40.21,2.9,0.0,Low,Medium,Medium
Danish pastry,50.666666666666664,43.20000000000001,1.4000000000000001,18.666666666666668,High,High,Medium
Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),61.0,64.4,5.3,2.0,High,Medium,Medium
Snack bar,333.0,75.47,4.6,236.0,High,Medium,Medium
Cereal or granola bar with nuts,108.0,54.1,3.8,8.0,High,High,Medium
Graham crackers (Teddy Grahams),77.0,77.66,3.4,0.0,High,Medium,Medium
Shrimp chips,20.0,59.09,5.6,0.0,High,Medium,Medium
Cereal (General Mills Cheerios Apple Cinnamon),333.0,79.9,7.3,498.0,High,Medium,Medium
